2.53033071410737e-11	1.06117353308365e-19	2.72e-14	930.2686487938
1.18942375031211e-10	3.63295880149813e-18	1.27e-13	936.55416271
6.45206279650437e-10	1.18601747815231e-16	6.93e-13	931.0337637117
5.85735092134832e-9	6.08239700374532e-15	6.295e-12	930.4776812939
1.471070317603e-8	3.10112359550562e-14	1.581e-11	930.4702205734
3.7e-8	1.51747815230961e-13	3.972e-11	930.4241024248
9.27974944818977e-8	7.18476903870162e-13	9.976e-11	930.2146447354
2.3317193897628e-7	3.28714107365793e-12	2.506e-10	930.4677817931
5.85735092134832e-7	1.44694132334582e-11	6.294e-10	930.6475397967
1.471070317603e-6	6.08926342072409e-11	1.581e-9	930.5067743436
3.69619040898877e-6	2.44132334581773e-10	4.e-9	930.622996305
4.65277884968789e-6	3.28277153558052e-10	5.e-9	930.6214253683
9.28535993757803e-6	8.95755305867666e-10	1.e-8	930.8596324062
0.0000185258359600499	2.39263420724095e-9	1.99e-8	931.0667635305
0.0000369843460474407	6.27965043695381e-9	3.973e-8	931.0502315096
0.0000737779354556804	1.62546816479401e-8	7.926e-8	931.0394920178
0.0001472753	4.16729088639201e-8	1.581e-7	931.7964538318
0.0001854267	5.45443196004994e-8	1.991e-7	931.5982852926
0.0002939335	1.01685393258427e-7	3.156e-7	931.6705464019
0.0004658389	1.89076154806492e-7	5.001e-7	931.8696461956
0.0005868572	2.57740324594257e-7	6.296e-7	932.5205373842
0.0009010446	4.28214731585518e-7	9.667e-7	932.5259237477
0.0014278695	7.94e-7	1.532e-6	932.5480135796
0.0023373299	1.47066167290886e-6	2.507e-6	932.9080737232
0.0037062893	2.72284644194757e-6	3.974e-6	933.3196115575
0.004505784	3.53433208489388e-6	4.83e-6	933.6062856729
0.0056722048	4.80774032459426e-6	6.081e-6	933.5656161586
0.0074002355	6.541822721598e-6	7.93e-6	934.0198393244
0.0093190229	8.89513108614232e-6	9.982e-6	934.4738534356
0.0117315333	0.0000120973782771536	0.00001257	934.2586069323
0.0142113696	0.0000156242197253433	0.00001522	934.7564940999
0.0185987723	0.0000212484394506866	0.00001991	935.2094807407
0.0234181827	0.0000288888888888889	0.00002507	935.2641242723
0.0260999966	0.000033501872659176	0.00002791	936.3489253625
0.0356097761	0.000049394506866417	0.00003807	936.6737760489
0.0473749724	0.0000703495630461922	0.00005063	937.0989918537
0.0617153833	0.0000974406991260924	0.00006592	937.6945383804
0.0789956906	0.0001316479	0.00008433	938.3059234773
0.0995300817	0.0001741573	0.0001062	938.8346426665
0.1238235008	0.0002262797	0.0001321	939.0596551812
0.152268682	0.0002893258	0.0001624	939.3966000012
0.1584963252	0.0003033084	0.000169	939.6428022664
0.164948388	0.0003179151	0.0001759	939.5469193923
0.1715687655	0.0003329588	0.000183	939.3536846701
0.1784135625	0.0003485643	0.0001902	939.8639686722
0.1854266743	0.0003647316	0.0001977	939.7643190069
0.1926642056	0.0003813358	0.0002054	939.8517109212
0.1950206111	0.000386829	0.0002079	939.9107267911
0.1953011356	0.0003875156	0.0002082	939.9070663352
0.1960866041	0.0003879526	0.0002091	939.6200702016
0.2026508767	0.0003968165	0.000216	940.0356165904
0.2092712542	0.0004037453	0.0002231	939.8251882592
0.2168454149	0.000410799	0.0002311	940.0961222747
0.2253172538	0.0004182272	0.0002401	940.1727657172
0.2345184564	0.0004259051	0.00025	939.7774461923
0.247983631	0.0004366417	0.0002643	939.9177928838
0.286583798	0.0004661673	0.0003053	940.2226178953
0.3316921326	0.0005003121	0.0003533	940.2559998417
0.3827475861	0.0005395755	0.0004076	940.3512306134
0.4395257387	0.0005847066	0.000468	940.4069343876
0.501746066	0.0006360799	0.0005341	940.6143903625
0.5694646729	0.0006947566	0.0006059	941.0124269074
0.7198257885	0.0008345818	0.0007661	940.6870777798
1.1860574567	0.0013451935	0.001262	940.8895801801
1.7824524787	0.002139201	0.001895	941.7370341163
2.5151823928	0.0032883895	0.002673	942.1888448456
3.3949071288	0.0048676654	0.003606	942.8105363997
4.4356529104	0.0069600499	0.00471	943.2299278768
7.0636061398	0.0130399501	0.007496	944.056308683
10.5589410287	0.022372035	0.0112	944.7600949706
